name;grande_comando;estado;pais;
ARFAMIL MENS;ARFAMIL MENS;BA;BRASIL;
ASB AF;ASB AF;RJ;BRASIL;
ASBAPI MENS;ASBAPI MENS;DF;BRASIL;
ASMIPIR MENS;ASMIPIR MENS;PR;BRASIL;
ASMIR PE MENS;ASMIR PE MENS;RJ;BRASIL;
ASS ANIST POLITICOS;ASS ANIST POLITICOS;RJ;BRASIL;
ASS BL I SQN204;ASS BL I SQN204;RS;BRASIL;
ASS BL J SQN108;ASS BL J SQN108;MG;BRASIL;
ASS ORD ALTANEI;ASS ORD ALTANEI;DF;BRASIL;
ASS PER APCHBIB;ASS PER APCHBIB;DF;BRASIL;
ASS PER BLOCO A;ASS PER BLOCO A;DF;BRASIL;
ASS PER IVO GAST;ASS PER IVO GAST;PE;BRASIL;
ASS PERM ASPEVI;ASS PERM ASPEVI;PE;BRASIL;
ASS PERMI 14BIS;ASS PERMI 14BIS;RJ;BRASIL;
ASS PERMI ASPCA;ASS PERMI ASPCA;SP;BRASIL;
ASS PERMI ASWXL;ASS PERMI ASWXL;CE;BRASIL;
ASS PERMI HCV;ASS PERMI HCV;CE;BRASIL;
ASS PERMI VMA;ASS PERMI VMA;MG;BRASIL;
ASS SERV CV AER;ASS SERV CV AER;RJ;BRASIL;
ASS SERV CV BR;ASS SERV CV BR;RJ;BRASIL;
ASS SO SGT EPCAR;ASS SO SGT EPCAR;SP;BRASIL;
ASSAF B25;ASSAF B25;PE;BRASIL;
ASSATA MENS;ASSATA MENS;RJ;BRASIL;
BANCO INTER SA;BANCO INTER SA;SP;BRASIL;
BANEX AF;BANEX AF;CE;BRASIL;
BC MORADA/ACRUX;BC MORADA/ACRUX;RJ;BRASIL;
BCO ABC AF;BCO ABC AF;RJ;BRASIL;
BCO ALFA AF;BCO ALFA AF;RJ;BRASIL;
BCO ARBI AF;BCO ARBI AF;RJ;BRASIL;
BCO BBM AF;BCO BBM AF;RJ;BRASIL;
BCO BMC AF;BCO BMC AF;RJ;BRASIL;
BCO BMG AF;BCO BMG AF;RJ;BRASIL;
BCO BONSUCESSO AF;BCO BONSUCESSO AF;RJ;BRASIL;
BCO BRADESCO AF;BCO BRADESCO AF;RJ;BRASIL;
BCO BRASIL AF;BCO BRASIL AF;RJ;BRASIL;
BCO BVA AF;BCO BVA AF;SP;BRASIL;
BCO CACIQUE AF;BCO CACIQUE AF;SP;BRASIL;
BCO CEDULA AF;BCO CEDULA AF;RJ;BRASIL;
BCO CR2 AF;BCO CR2 AF;RJ;BRASIL;
BCO CRUZ SUL AF;BCO CRUZ SUL AF;SP;BRASIL;
BCO DAYCOVAL AF;BCO DAYCOVAL AF;RJ;BRASIL;
BCO FIBRA AF;BCO FIBRA AF;SP;BRASIL;
BCO FICSA AF;BCO FICSA AF;RJ;BRASIL;
BCO GE CAPITAL AF;BCO GE CAPITAL AF;SP;BRASIL;
BCO GE CART CRED;BCO GE CART CRED;RJ;BRASIL;
BCO GERADOR;BCO GERADOR;RJ;BRASIL;
BCO HSBC AF;BCO HSBC AF;PR;BRASIL;
BCO INDUSTRIAL AF;BCO INDUSTRIAL AF;RJ;BRASIL;
BCO ITAU AF;BCO ITAU AF;SP;BRASIL;
BCO ITAU-UNIBANCO AF;BCO ITAU-UNIBANCO AF;MG;BRASIL;
BCO MAXIMA AF;BCO MAXIMA AF;GO;BRASIL;
BCO MERCANTIL AF;BCO MERCANTIL AF;RJ;BRASIL;
BCO ORIGINAL AF;BCO ORIGINAL AF;SP;BRASIL;
BCO PARANµ AF;BCO PARANµ AF;RJ;BRASIL;
BCO PECUNIA AF;BCO PECUNIA AF;MG;BRASIL;
BCO PINE AF;BCO PINE AF;RJ;BRASIL;
BCO RURAL AF;BCO RURAL AF;RJ;BRASIL;
BCO SAFRA AF;BCO SAFRA AF;RJ;BRASIL;
BCO SANTANDER AF;BCO SANTANDER AF;RJ;BRASIL;
BCO SCHAHIN AF;BCO SCHAHIN AF;RJ;BRASIL;
BCO SEMEAR AF;BCO SEMEAR AF;RJ;BRASIL;
BCO SOFISA AF;BCO SOFISA AF;RJ;BRASIL;
BV FIN AF;BV FIN AF;RJ;BRASIL;
C S S G A F;C S S G A F;RS;BRASIL;
C SGT B MENSAL;C SGT B MENSAL;PE;BRASIL;
C TAIF AER;C TAIF AER;SP;BRASIL;
CAPEMISA S/A;CAPEMISA S/A;RJ;BRASIL;
CAPEMISA SA;CAPEMISA SA;SP;BRASIL;
CARAVANA MENS;CARAVANA MENS;PE;BRASIL;
CAS SOSGT SP;CAS SOSGT SP;SC;BRASIL;
CASCASTA;CASCASTA;RJ;BRASIL;
CASSAZUM;CASSAZUM;DF;BRASIL;
CATALINA MENS;CATALINA MENS;DF;BRASIL;
CCB BRASIL;CCB BRASIL;MG;BRASIL;
CEF AF;CEF AF;RJ;BRASIL;
CEN SOCIAL PELICANO;CEN SOCIAL PELICANO;MG;BRASIL;
CETELEM;CETELEM;RJ;BRASIL;
CIAER AGINT-MA;CIAER;MA;BRASIL;
CIAER AGINT-SP;CIAER;SP;BRASIL;
CLUBE AER;CLUBE AER;RJ;BRASIL;
CLUBE AER BR;CLUBE AER BR;CE;BRASIL;
CLUBE DAS µGUIAS;CLUBE DAS µGUIAS;SP;BRASIL;
CLUBE MILITAR;CLUBE MILITAR;RJ;BRASIL;
CLUBE SOSGT AER;CLUBE SOSGT AER;RJ;BRASIL;
COGA;COGA;RJ;BRASIL;
COGAL;COGAL;RJ;BRASIL;
COMGAP AAL_SJ;COMGAP SP;SP;BRASIL;
COMPREV;COMPREV;RJ;BRASIL;
COSAE-SICOOB;COSAE-SICOOB;SC;BRASIL;
CQCTAN MENS;CQCTAN MENS;PE;BRASIL;
CS ALBATROZ MENS;CS ALBATROZ MENS;SC;BRASIL;
CSSGL;CSSGL;RJ;BRASIL;
MTAB-BOLIVIA;EMAER;-;BOL÷VIA;
EQUATORIAL PREV;EQUATORIAL PREV;RJ;BRASIL;
FIN EXPRINTER AF;FIN EXPRINTER AF;RJ;BRASIL;
FIN OBOE AF;FIN OBOE AF;SP;BRASIL;
FIN PREVCAIXA AF;FIN PREVCAIXA AF;RJ;BRASIL;
GBOEX;GBOEX;RS;BRASIL;
GSGS AF;GSGS AF;RS;BRASIL;
LECCA FIN AF;LECCA FIN AF;RJ;BRASIL;
LEG VET GUER BR;LEG VET GUER BR;RJ;BRASIL;
ESG-BR;MDEFESA;DF;BRASIL;
MENS AMIGOS T1;MENS AMIGOS T1;RJ;BRASIL;
MENS APRAF;MENS APRAF;MG;BRASIL;
MENS ASA BRANCA;MENS ASA BRANCA;SP;BRASIL;
MENS ASSGAPA;MENS ASSGAPA;MG;BRASIL;
MENS COEP;MENS COEP;SC;BRASIL;
MENS ESQ FUMACA;MENS ESQ FUMACA;RJ;BRASIL;
MITRA ORD MIL;MITRA ORD MIL;RS;BRASIL;
NINHO DAS µGUIAS MEN;NINHO DAS µGUIAS MEN;PE;BRASIL;
OLE CONSIGNADO;OLE CONSIGNADO;RS;BRASIL;
PRESTAÄ«O DE ALUGUEL;PRESTAÄ«O DE ALUGUEL;RS;BRASIL;
PREVBRAS PREV AF;PREVBRAS PREV AF;RJ;BRASIL;
PREVICORP PREV AF;PREVICORP PREV AF;RJ;BRASIL;
QUALIVIDA;QUALIVIDA;PE;BRASIL;
SICOOB NOSSACOOP;SICOOB NOSSACOOP;AL;BRASIL;
U BENEF SSGT FA;U BENEF SSGT FA;RN;BRASIL;
UBS-5;UBS-5;RJ;BRASIL;
VIVER PREV;VIVER PREV;RJ;BRASIL;
1  VECT;-;AM;BRASIL;
1 AUD/ 2 CJM;-;SP;BRASIL;
1 AUD/3 CJM;-;RS;BRASIL;
1 DEPOL;-;SP;BRASIL;
1 DP;-;SP;BRASIL;
1 DP CIV;-;RN;BRASIL;
1 DP CIV RN;-;RN;BRASIL;
1 DP GO;-;GO;BRASIL;
1 DPRCCM;-;PE;BRASIL;
1 DVJVDFCM;-;PA;BRASIL;
1 JEC;-;PE;BRASIL;
1 JECRIM SG;-;RJ;BRASIL;
1 JECRIMBV;-;RR;BRASIL;
1 JVDFCM;-;DF;BRASIL;
1 V;-;PE;BRASIL;
1 VAM;-;RO;BRASIL;
1 VC;-;MG;BRASIL;
1 VC FL;-;SC;BRASIL;
1 VC GO;-;GO;BRASIL;
1 VC MN;-;AM;BRASIL;
1 VC RJ;-;RJ;BRASIL;
1 VC RO;-;RO;BRASIL;
1 VC SM;-;RS;BRASIL;
1 VC SP;-;SP;BRASIL;
1 VC SP.;-;SP;BRASIL;
1 VC/PA;-;PA;BRASIL;
1 VC/RN;-;RN;BRASIL;
1 VCCN;-;RJ;BRASIL;
1 VCCP;-;SP;BRASIL;
1 VCRJ;-;RJ;BRASIL;
1 VCSJM;-;RJ;BRASIL;
1 VDT;-;RO;BRASIL;
1 VDT BC;-;SP;BRASIL;
1 VECCDCA;-;AM;BRASIL;
1 VECT;-;AM;BRASIL;
1 VF/DF;-;DF;BRASIL;
1 VF/RN;-;RN;BRASIL;
1 VF/SP;-;SP;BRASIL;
1 VFAC;-;AC;BRASIL;
1 VFC;-;RJ;BRASIL;
1 VJFDPCC;-;SP;BRASIL;
1/2 CJM;-;SP;BRASIL;
1/VF S«O PEDRO DA AL;-;RJ;BRASIL;
1¶ JEF;-;RJ;BRASIL;
1¶ VC;-;PE;BRASIL;
1¶ VC GO;-;GO;BRASIL;
1¶ VC/BH;-;MG;BRASIL;
1¶ VC/JVDF;-;SP;BRASIL;
1¶ VC/MG;-;MG;BRASIL;
1¶ VCCSF/BA;-;BA;BRASIL;
1¶ VJPC;-;BA;BRASIL;
1¶ VTJCG/MS;-;MS;BRASIL;
1¶/2¶ CJM;-;SP;BRASIL;
1¶/2¶CJM;-;SP;BRASIL;
1¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
1¶AUD/2¶CJM;-;RJ;BRASIL;
1¶AUD/2¶CJM/SP;-;SP;BRASIL;
1¶VCCA;-;SP;BRASIL;
1¶VCCEJB/DF;-;DF;BRASIL;
1¶VCCN;-;RJ;BRASIL;
1¶VCPCA/PA;-;PA;BRASIL;
1¶VJL/SP;-;SP;BRASIL;
1JECCJG/PE;-;PE;BRASIL;
1JEF;-;RJ;BRASIL;
1JEF/DF;-;DF;BRASIL;
1JEF/GUARULHOS;-;SP;BRASIL;
1JEF/MG;-;MG;BRASIL;
1JEF/RJ;-;RJ;BRASIL;
1JEF/V.REDONDA;-;RJ;BRASIL;
1JVDF;-;RJ;BRASIL;
1ß DP/MN;-;AM;BRASIL;
1ß JEC/RJ;-;RJ;BRASIL;
1ß JECC;-;DF;BRASIL;
1ß JECRIM;-;RJ;BRASIL;
1ß JVD;-;RR;BRASIL;
1ß VJCP/SP;-;SP;BRASIL;
1ßDPSR/RS;-;RS;BRASIL;
1ßJECRIM;-;RN;BRASIL;
1ßVF/ANGRA DOS REIS;-;RJ;BRASIL;
1ßVF/BLUMENAU;-;SC;BRASIL;
1ßVF/CG;-;MS;BRASIL;
1ßVF/JEF;-;MG;BRASIL;
1ßVF/MAGê;-;RJ;BRASIL;
1ßVF/PIRACICABA;-;SP;BRASIL;
1ßVF/PORTO ALEGRE;-;RS;BRASIL;
1ßVF/RESENDE;-;RJ;BRASIL;
1ßVF/RS;-;RS;BRASIL;
1TURMA REC;-;RJ;BRASIL;
1VC;-;RS;BRASIL;
1VC/BQ;-;MG;BRASIL;
1VC/CO;-;RS;BRASIL;
1VC/MA;-;MA;BRASIL;
1VC/SJM;-;RJ;BRASIL;
1VCCJG;-;PE;BRASIL;
1VCIJ;-;MG;BRASIL;
1VF;-;GO;BRASIL;
1VF/AM;-;AM;BRASIL;
1VF/BA;-;BA;BRASIL;
1VF/CE;-;CE;BRASIL;
1VF/CORUMBµ;-;MS;BRASIL;
1VF/CRICIÈMA;-;SC;BRASIL;
1VF/DC;-;RJ;BRASIL;
1VF/DF;-;DF;BRASIL;
1VF/DIVINOPOLIS;-;MG;BRASIL;
1VF/ES;-;ES;BRASIL;
1VF/FLORIA;-;SC;BRASIL;
1VF/FOZDOIGUAÄU;-;PR;BRASIL;
1VF/GO;-;GO;BRASIL;
1VF/ITAB;-;RJ;BRASIL;
1VF/JFORA;-;MG;BRASIL;
1VF/LAGES;-;SC;BRASIL;
1VF/MA;-;MA;BRASIL;
1VF/MACAê;-;RJ;BRASIL;
1VF/MG;-;MG;BRASIL;
1VF/MS;-;MS;BRASIL;
1VF/MT;-;MT;BRASIL;
1VF/NH;-;RS;BRASIL;
1VF/NI;-;RJ;BRASIL;
1VF/NITEROI;-;RJ;BRASIL;
1VF/PB;-;PB;BRASIL;
1VF/PE;-;PE;BRASIL;
1VF/PELOTAS;-;RS;BRASIL;
1VF/RN;-;RN;BRASIL;
1VF/RO;-;RO;BRASIL;
1VF/RR;-;RR;BRASIL;
1VF/RS;-;RS;BRASIL;
1VF/SANTARêM;-;PA;BRASIL;
1VF/SANTOS;-;SP;BRASIL;
1VF/SBC;-;SP;BRASIL;
1VF/SC;-;SC;BRASIL;
1VF/SJBV;-;SP;BRASIL;
1VF/SJMERITI;-;RJ;BRASIL;
1VF/SOROCABA;-;SP;BRASIL;
1VF/SP;-;SP;BRASIL;
1VF/TAUB;-;SP;BRASIL;
1VF/TERE;-;RJ;BRASIL;
01VFSG;-;RJ;BRASIL;
2 AUD/2 CJM;-;SP;BRASIL;
2 DEAM;-;CE;BRASIL;
2 JEC RF;-;PE;BRASIL;
2 JECRIM;-;RJ;BRASIL;
2 TURMA REC;-;RJ;BRASIL;
2 TURMA REC/RJ;-;RJ;BRASIL;
2 VC;-;PE;BRASIL;
2 VC BANGU/RJ;-;RJ;BRASIL;
2 VC MAD RJ;-;RJ;BRASIL;
2 VC MG;-;MG;BRASIL;
2 VC NI;-;RJ;BRASIL;
2 VC RJ;-;RJ;BRASIL;
2 VC SC;-;SC;BRASIL;
2 VC SP;-;SP;BRASIL;
2 VC/CE;-;CE;BRASIL;
2 VC/FRSC;-;RJ;BRASIL;
2 VC/MG;-;MG;BRASIL;
2 VC/RJ;-;RJ;BRASIL;
2 VCCE;-;CE;BRASIL;
2 VCDI;-;PA;BRASIL;
2 VCJEM;-;MA;BRASIL;
2 VF;-;SP;BRASIL;
2 VF/AL;-;AL;BRASIL;
2 VF/DF;-;DF;BRASIL;
2 VF/PE;-;PE;BRASIL;
2 VF/RN;-;RN;BRASIL;
2 VJ;-;PE;BRASIL;
2/1 CJM;-;RJ;BRASIL;
2¶ AUD/3¶ CJM;-;PR;BRASIL;
2¶ DSDP/CE;-;CE;BRASIL;
2¶ PIP/RJ;-;RJ;BRASIL;
2¶ VC;-;RS;BRASIL;
2¶ VC / DF;-;DF;BRASIL;
2¶ VC/DF;-;DF;BRASIL;
2¶ VC/MG;-;MG;BRASIL;
2¶ VCC-SR;-;RS;BRASIL;
2¶ VCCCA;-;PA;BRASIL;
2¶ VCCGM/RO;-;RO;BRASIL;
2¶ VCCPV-RO;-;RO;BRASIL;
2¶ VCCSM;-;RS;BRASIL;
2¶ VCFG;-;SP;BRASIL;
2¶ VCSG/RJ;-;RJ;BRASIL;
2¶ VDFCM/PE;-;PE;BRASIL;
2¶ VP/DF;-;DF;BRASIL;
2¶/2¶CJM/SP;-;SP;BRASIL;
2¶AUD/2¶CJM;-;SP;BRASIL;
2¶VC;-;PA;BRASIL;
2¶VC/BA;-;BA;BRASIL;
2¶VCA/SP;-;SP;BRASIL;
2¶VF/PIRACICABA;-;SP;BRASIL;
2¶VFPP/MS;-;MS;BRASIL;
2¶VJP/SP;-;SP;BRASIL;
2JEF;-;RJ;BRASIL;
2JEF/CE;-;CE;BRASIL;
2JEF/MG;-;MG;BRASIL;
2JEF/PR;-;PR;BRASIL;
2JEF/RJ;-;RJ;BRASIL;
2ß DP/SP;-;SP;BRASIL;
2ß DPSBC;-;SP;BRASIL;
2ß JEF/RJ;-;RJ;BRASIL;
2ß JEVD;-;AM;BRASIL;
2ß JEVD/RJ;-;RJ;BRASIL;
2ß JIJ/PV;-;RO;BRASIL;
2ß JVDFCM/BR;-;DF;BRASIL;
2ß VC DF;-;DF;BRASIL;
2ß VC FOS;-;DF;BRASIL;
2ß VF;-;RN;BRASIL;
2OJECRIM/RJ;-;RJ;BRASIL;
2ßVF/MS;-;MS;BRASIL;
2VC;-;SP;BRASIL;
2VC/DF;-;DF;BRASIL;
2VC/RF;-;PE;BRASIL;
2VCZSN/RN;-;RN;BRASIL;
2VF;-;AM;BRASIL;
2VF / SP;-;SP;BRASIL;
2VF/AM;-;AM;BRASIL;
2VF/ARARAQUARA;-;SP;BRASIL;
2VF/BA;-;BA;BRASIL;
2VF/CANOAS;-;RS;BRASIL;
2VF/CE;-;CE;BRASIL;
2VF/CRICIÈMA;-;SC;BRASIL;
2VF/DF;-;DF;BRASIL;
2VF/DUQUE DE CAXIAS;-;RJ;BRASIL;
2VF/ES;-;ES;BRASIL;
2VF/FLORIA;-;SC;BRASIL;
2VF/GO;-;GO;BRASIL;
2VF/JFORA;-;MG;BRASIL;
2VF/LUZIANIA;-;GO;BRASIL;
2VF/MG;-;MG;BRASIL;
2VF/MS;-;MS;BRASIL;
2VF/MT;-;MT;BRASIL;
2VF/NOVA IGUAÄU;-;RJ;BRASIL;
2VF/PE;-;PE;BRASIL;
2VF/PELOTAS;-;RS;BRASIL;
2VF/PET;-;RJ;BRASIL;
2VF/PI;-;PI;BRASIL;
2VF/PR;-;PR;BRASIL;
2VF/RN;-;RN;BRASIL;
2VF/RO;-;RO;BRASIL;
2VF/RPRETO;-;SP;BRASIL;
2VF/RR;-;RR;BRASIL;
2VF/RS;-;RS;BRASIL;
2VF/SANTOS;-;SP;BRASIL;
2VF/SAO CARLOS;-;SP;BRASIL;
2VF/SAO GONÄALO;-;RJ;BRASIL;
2VF/S«O PEDRO DA ALD;-;RJ;BRASIL;
2VF/SC;-;SC;BRASIL;
2VF/SE;-;SE;BRASIL;
2VF/SG;-;RJ;BRASIL;
2VF/SG RJ;-;RJ;BRASIL;
2VF/SJC;-;SP;BRASIL;
2VF/SJMERITI;-;RJ;BRASIL;
2VF/SM;-;RS;BRASIL;
2VF/SP;-;SP;BRASIL;
2VF/UMUARAMA;-;PR;BRASIL;
2VFC;-;RJ;BRASIL;
2VP/PA;-;PA;BRASIL;
2VVDFCM;-;PA;BRASIL;
3 AUD/3 CJM;-;RS;BRASIL;
3 JECRIM PE;-;PE;BRASIL;
3 V JUDICIAL;-;SP;BRASIL;
3 VC;-;PE;BRASIL;
3 VC AP;-;AP;BRASIL;
3 VC JG;-;PE;BRASIL;
3 VC PV;-;RO;BRASIL;
3 VC RJ;-;RJ;BRASIL;
3 VC RS;-;RS;BRASIL;
3 VC TAGDF;-;DF;BRASIL;
3 VCAN/GO;-;GO;BRASIL;
3 VCCJG;-;PE;BRASIL;
3 VCDC/RJ;-;RJ;BRASIL;
3 VCFG;-;SP;BRASIL;
3 VF / PA;-;PA;BRASIL;
3 VF/CE;-;CE;BRASIL;
3 VJIJ;-;SP;BRASIL;
3 VPBE;-;PA;BRASIL;
3¶ DP/DF;-;DF;BRASIL;
3¶ DP/SP;-;SP;BRASIL;
3¶ VC;-;SP;BRASIL;
3¶ VC MS;-;MS;BRASIL;
3¶ VC/RS;-;RS;BRASIL;
3¶ VC/TJAM;-;AM;BRASIL;
3¶ VCC/PE;-;PE;BRASIL;
3¶ VFT/VR;-;RJ;BRASIL;
3¶ VRCBV;-;RR;BRASIL;
3¶ VVDFCM;-;PE;BRASIL;
3¶/1¶ CJM;-;RJ;BRASIL;
3¶AUD/1¶CJM;-;GO;BRASIL;
3¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
3AUD/3CJM;-;RS;BRASIL;
3¶VCD/PA;-;PA;BRASIL;
3¶VFC/PR;-;PR;BRASIL;
3¶VJP/SP;-;SP;BRASIL;
3¶VJRP/SP;-;SP;BRASIL;
3¶VJVDFM;-;PA;BRASIL;
3JEF/MG;-;MG;BRASIL;
3JEF/RJ;-;RJ;BRASIL;
3ß DIP;-;AM;BRASIL;
3ß JVDFCM-DF;-;DF;BRASIL;
3ßVF/CG;-;MS;BRASIL;
3VCDI;-;PA;BRASIL;
3VCT/BR;-;DF;BRASIL;
3VF;-;RJ;BRASIL;
3VF/AM;-;AM;BRASIL;
3VF/BA;-;BA;BRASIL;
3VF/BLUMENAU;-;SC;BRASIL;
3VF/CE;-;CE;BRASIL;
3VF/CURITIBA;-;PR;BRASIL;
3VF/DC;-;RJ;BRASIL;
3VF/DF;-;DF;BRASIL;
3VF/ES;-;ES;BRASIL;
3VF/FLORIA;-;SC;BRASIL;
3VF/GO;-;GO;BRASIL;
3VF/JFORA;-;MG;BRASIL;
3VF/MA;-;MA;BRASIL;
3VF/MG;-;MG;BRASIL;
3VF/MS;-;MS;BRASIL;
3VF/NITEROI;-;RJ;BRASIL;
3VF/PA;-;PA;BRASIL;
3VF/PB;-;PB;BRASIL;
3VF/PE;-;PE;BRASIL;
3VF/POA;-;RS;BRASIL;
3VF/PR;-;PR;BRASIL;
3VF/RN;-;RN;BRASIL;
3VF/RO;-;RO;BRASIL;
3VF/RR;-;RR;BRASIL;
3VF/RS;-;RS;BRASIL;
3VF/SC;-;SC;BRASIL;
3VF/SG;-;RJ;BRASIL;
3VF/SJMERITI;-;RJ;BRASIL;
3VF/SJRPRETO;-;SP;BRASIL;
3VF/SP;-;SP;BRASIL;
3VF/UBERL∂;-;MG;BRASIL;
3VFF/RN;-;RN;BRASIL;
4 DISE SUL;-;SP;BRASIL;
4 DP PE;-;PE;BRASIL;
4 PRET CRI;-;PA;BRASIL;
4 PRET CRIM;-;PA;BRASIL;
4 VC;-;RS;BRASIL;
4 VC CE;-;CE;BRASIL;
4 VC/RS;-;RS;BRASIL;
4 VCBR;-;DF;BRASIL;
4 VF/CE;-;CE;BRASIL;
4 VF/PR;-;PR;BRASIL;
4¶ DP/DF;-;DF;BRASIL;
4¶ DPDF;-;DF;BRASIL;
4¶ VC/DF;-;DF;BRASIL;
4¶ VC/PA;-;PA;BRASIL;
4¶ VC/SP;-;SP;BRASIL;
4¶ VCCBH;-;MG;BRASIL;
4¶ VFC/RJ;-;RJ;BRASIL;
4¶AUD/1¶CJM;-;RJ;BRASIL;
4¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
4¶CJM;-;MG;BRASIL;
4¶CJM/JF;-;MG;BRASIL;
4¶VC/RR;-;MA;BRASIL;
4¶VCCN;-;RJ;BRASIL;
4¶VCTR;-;RJ;BRASIL;
4¶VF;-;SP;BRASIL;
4JEF/AC;-;AC;BRASIL;
4JEF/RJ;-;RJ;BRASIL;
4ßJECCC;-;RJ;BRASIL;
4ßVF/CG;-;MS;BRASIL;
4ßVF/SANTOS;-;SP;BRASIL;
4VC/SP;-;SP;BRASIL;
4VF;-;GO;BRASIL;
4VF/AL;-;AL;BRASIL;
4VF/AM;-;AM;BRASIL;
4VF/BA;-;BA;BRASIL;
4VF/CANOAS;-;RS;BRASIL;
4VF/CE;-;CE;BRASIL;
4VF/DF;-;DF;BRASIL;
4VF/ES;-;ES;BRASIL;
4VF/FLORIA;-;SC;BRASIL;
4VF/GO;-;GO;BRASIL;
4VF/MS;-;MS;BRASIL;
4VF/NITEROI;-;RJ;BRASIL;
4VF/PA;-;PA;BRASIL;
4VF/PE;-;PE;BRASIL;
4VF/PR;-;PR;BRASIL;
4VF/RJ;-;RJ;BRASIL;
4VF/RN;-;RN;BRASIL;
4VF/RR;-;RR;BRASIL;
4VF/RS;-;RS;BRASIL;
4VF/SC;-;SC;BRASIL;
4VF/SJC;-;SP;BRASIL;
4VF/SJMERITI;-;RJ;BRASIL;
4VF/SP;-;SP;BRASIL;
4VFPE;-;PE;BRASIL;
5 DP;-;RJ;BRASIL;
5 DP RJ;-;RJ;BRASIL;
5 TJ;-;SP;BRASIL;
5 VC;-;RJ;BRASIL;
5 VC BA;-;BA;BRASIL;
5 VC SP;-;SP;BRASIL;
5 VC/RJ;-;RJ;BRASIL;
5 VC/SP;-;SP;BRASIL;
5 VF/DF;-;DF;BRASIL;
5¶ DP;-;PR;BRASIL;
5¶ VC;-;SP;BRASIL;
5¶ VC RN;-;RN;BRASIL;
5¶VC;-;DF;BRASIL;
5¶VF/CUIABµ;-;MT;BRASIL;
5¶VF/PI;-;PI;BRASIL;
5¶VFP-DF;-;DF;BRASIL;
5JEC;-;RJ;BRASIL;
5JEF/RJ;-;RJ;BRASIL;
5ß DP;-;CE;BRASIL;
5ß VCC;-;SC;BRASIL;
5ßJVD/RJ;-;RJ;BRASIL;
5VF/BA;-;BA;BRASIL;
5VF/CE;-;CE;BRASIL;
5VF/DF;-;DF;BRASIL;
5VF/ES;-;ES;BRASIL;
5VF/FLORIA;-;SC;BRASIL;
5VF/GUARUL;-;SP;BRASIL;
5VF/MA;-;MA;BRASIL;
5VF/MG;-;MG;BRASIL;
5VF/PA;-;PA;BRASIL;
5VF/PE;-;PE;BRASIL;
5VF/PR;-;PR;BRASIL;
5VF/RN;-;RN;BRASIL;
5VF/RS;-;RS;BRASIL;
5VF/SC;-;SC;BRASIL;
5VF/SE;-;SE;BRASIL;
5VF/SJMERITI;-;RJ;BRASIL;
5VF/SP;-;SP;BRASIL;
6 VC/TJERR;-;RR;BRASIL;
6¶ VC/SP;-;SP;BRASIL;
6¶ VCCBH;-;MG;BRASIL;
6¶VF/CAMPINAS;-;SP;BRASIL;
6JEF/MS;-;MS;BRASIL;
6ßVF/RJ;-;RJ;BRASIL;
6VF/AM;-;AM;BRASIL;
6VF/BA;-;BA;BRASIL;
6VF/CE;-;CE;BRASIL;
6VF/CEARA;-;CE;BRASIL;
6VF/DF;-;DF;BRASIL;
6VF/FLORIA;-;SC;BRASIL;
6VF/GO;-;GO;BRASIL;
6VF/GUARUL;-;SP;BRASIL;
6VF/MA;-;MA;BRASIL;
6VF/MG;-;MG;BRASIL;
6VF/PE;-;PE;BRASIL;
6VF/PR;-;PR;BRASIL;
6VF/RJ;-;RJ;BRASIL;
6VF/RS;-;RS;BRASIL;
6VF/SC;-;SC;BRASIL;
6VF/SJMERITI;-;RJ;BRASIL;
6VF/SP;-;SP;BRASIL;
6VJEF;-;MT;BRASIL;
7 VC DF;-;DF;BRASIL;
7 VC/RN;-;RN;BRASIL;
7 VF/CE;-;CE;BRASIL;
7/VF;-;DF;BRASIL;
7¶ DTRV;-;BA;BRASIL;
7¶ VCC/PE;-;PE;BRASIL;
7JEF/MA;-;MA;BRASIL;
7VF/AL;-;AL;BRASIL;
7VF/BA;-;BA;BRASIL;
7VF/CANOAS;-;RS;BRASIL;
7VF/CE;-;CE;BRASIL;
7VF/DF;-;DF;BRASIL;
7VF/GO;-;GO;BRASIL;
7VF/MG;-;MG;BRASIL;
7VF/PE;-;PE;BRASIL;
7VF/PR;-;PR;BRASIL;
7VF/RN;-;RN;BRASIL;
7VF/RS;-;RS;BRASIL;
7VF/SP;-;SP;BRASIL;
7VFC/BA;-;BA;BRASIL;
8 VF/DF;-;DF;BRASIL;
8/CJM;-;RR;BRASIL;
8¶ CJM;-;AM;BRASIL;
8¶ VC;-;PR;BRASIL;
8¶CJM;-;PA;BRASIL;
8¶VF/BH;-;MG;BRASIL;
8JEF/PA;-;PA;BRASIL;
8ß DPB/SP;-;SP;BRASIL;
8VC/FZ;-;CE;BRASIL;
8VF/BA;-;BA;BRASIL;
8VF/DF;-;DF;BRASIL;
8VF/FLORIA;-;SC;BRASIL;
8VF/GO;-;GO;BRASIL;
8VF/MG;-;MG;BRASIL;
8VF/MT;-;MT;BRASIL;
8VF/NITER‡I;-;RJ;BRASIL;
8VF/PB;-;PB;BRASIL;
8VF/PE;-;PE;BRASIL;
8VF/POA;-;RS;BRASIL;
8VF/PR;-;PR;BRASIL;
