name;grande_comando;estado;pais;
SEGECAE;COMGEP;RJ;BRASIL;
SEREP-RJ;COMGEP;RJ;BRASIL;
UNIFA;COMGEP;RJ;BRASIL;
1 GAVCA;COMPREP;RJ;BRASIL;
1 GTT;COMPREP;RJ;BRASIL;
1/1 GT;COMPREP;RJ;BRASIL;
1/2 GT;COMPREP;RJ;BRASIL;
1/7 GAV RJ;COMPREP;RJ;BRASIL;
2/2 GT;COMPREP;RJ;BRASIL;
3 ETA;COMPREP;RJ;BRASIL;
3/8 GAV;COMPREP;RJ;BRASIL;
ALA 11;COMPREP;RJ;BRASIL;
ALA 12;COMPREP;RJ;BRASIL;
BAGL;COMPREP;RJ;BRASIL;
BASC;COMPREP;RJ;BRASIL;
BINFAE GL;COMPREP;RJ;BRASIL;
BINFAE RJ;COMPREP;RJ;BRASIL;
GSD-GL;COMPREP;RJ;BRASIL;
GSD-RJ;COMPREP;RJ;BRASIL;
STGM;COMPREP;RJ;BRASIL;
GAC-PAC_SCP-HB;DCTA;MG;BRASIL;
1 GCC;DECEA;RJ;BRASIL;
1/1 GCC;DECEA;RJ;BRASIL;
CGNA;DECEA;RJ;BRASIL;
CIMAER;DECEA;RJ;BRASIL;
CISCEA;DECEA;RJ;BRASIL;
COMF CISCE;DECEA;RJ;BRASIL;
COMF SIVAM;DECEA;RJ;BRASIL;
DECEA;DECEA;RJ;BRASIL;
DTCEA-AF;DECEA;RJ;BRASIL;
DTCEA-BQ;DECEA;MG;BRASIL;
DTCEA-CF;DECEA;MG;BRASIL;
DTCEA-GL;DECEA;RJ;BRASIL;
DTCEA-LS;DECEA;MG;BRASIL;
DTCEA-PCO;DECEA;RJ;BRASIL;
DTCEA-SC;DECEA;RJ;BRASIL;
DTCEA-STA;DECEA;ES;BRASIL;
DTCEA-TRM;DECEA;MG;BRASIL;
DTCEATM-RJ;DECEA;RJ;BRASIL;
GEIV;DECEA;RJ;BRASIL;
ICA;DECEA;RJ;BRASIL;
JJAER;DECEA;RJ;BRASIL;
PAME RJ;DECEA;RJ;BRASIL;
1 CJM;GABAER;RJ;BRASIL;
4 CJM;GABAER;MG;BRASIL;
GSI ER-RJO;GABAER;RJ;BRASIL;
SAGAB;GABAER;RJ;BRASIL;
INCAER;INCAER;RJ;BRASIL;
MUSAL;INCAER;RJ;BRASIL;
CECAFA MD;MDEFESA;RJ;BRASIL;
ESG;MDEFESA;RJ;BRASIL;
BAAF;SEFA;RJ;BRASIL;
CEAP;SEFA;RJ;BRASIL;
DCI;SEFA;RJ;BRASIL;
DIRAD;SEFA;RJ;BRASIL;
GAL;SEFA;RJ;BRASIL;
GALC;SEFA;RJ;BRASIL;
GAP AF;SEFA;RJ;BRASIL;
GAP BQ;SEFA;MG;BRASIL;
GAP GL;SEFA;RJ;BRASIL;
GAP LS;SEFA;MG;BRASIL;
GAP RJ;SEFA;RJ;BRASIL;
GAP SC;SEFA;RJ;BRASIL;
III COMAR;SEFA;RJ;BRASIL;
PAAF;SEFA;RJ;BRASIL;
PAGL;SEFA;RJ;BRASIL;
PALS;SEFA;MG;BRASIL;
PIPAR;SEFA;RJ;BRASIL;
1VF/RJ;-;RJ;BRASIL;
2VF/NITEROI;-;RJ;BRASIL;
2VF/RJ;-;RJ;BRASIL;
3VF/RJ;-;RJ;BRASIL;
5VF/RJ;-;RJ;BRASIL;
6¶AUD1¶CJM/RJ;-;RJ;BRASIL;
7VF/RJ;-;RJ;BRASIL;
8VF/RJ;-;RJ;BRASIL;
10VF/RJ;-;RJ;BRASIL;
12VF/RJ;-;RJ;BRASIL;
14VF/RJ;-;RJ;BRASIL;
15VF/RJ;-;RJ;BRASIL;
16VF/RJ;-;RJ;BRASIL;
17VF/RJ;-;RJ;BRASIL;
18VF/RJ;-;RJ;BRASIL;
20VF/RJ;-;RJ;BRASIL;
21VF/RJ;-;RJ;BRASIL;
23VF/RJ;-;RJ;BRASIL;
24VF/RJ;-;RJ;BRASIL;
26VF/RJ;-;RJ;BRASIL;
27VF/RJ;-;RJ;BRASIL;
28CI/RJ;-;RJ;BRASIL;
28VF/RJ;-;RJ;BRASIL;
30VF/RJ;-;RJ;BRASIL;
AUD/1 CJM;-;RJ;BRASIL;
AUD/4 CJM MG;-;MG;BRASIL;
CMBH;-;MG;BRASIL;
CMJF;-;MG;BRASIL;
CTAER RJ;-;RJ;BRASIL;
CURSO BR;-;RJ;BRASIL;
ECEME;-;RJ;BRASIL;
EGN;-;RJ;BRASIL;
ESCESP EXER;-;RJ;BRASIL;
GOV-RJ;-;RJ;BRASIL;
NVA-1;-;RJ;BRASIL;
SDPP;-;RJ;BRASIL;
TRF2REGIAO/RJ;-;RJ;BRASIL;
SERIPA IV;CENIPA;SP;BRASIL;
BASP;COMGAP SP;SP;BRASIL;
CCA SJ;COMGAP SP;SP;BRASIL;
CECAT;COMGAP SP;SP;BRASIL;
CELOG;COMGAP SP;SP;BRASIL;
CEPE SP;COMGAP SP;SP;BRASIL;
COMF MMR;COMGAP SP;SP;BRASIL;
COMGAP SP;COMGAP SP;SP;BRASIL;
COMREC-EMBRAER;COMGAP SP;SP;BRASIL;
DIRINFRA SP;COMGAP SP;SP;BRASIL;
DIRMAB;COMGAP SP;SP;BRASIL;
DT-INFRA SP;COMGAP SP;SP;BRASIL;
DTI;COMGAP SP;SP;BRASIL;
GSD-SP;COMGAP SP;SP;BRASIL;
ILA;COMGAP SP;SP;BRASIL;
IV COMAR;COMGAP SP;SP;BRASIL;
PAMA SP;COMGAP SP;SP;BRASIL;
2ESQDASAU HFASP;COMGEP;SP;BRASIL;
AFA;COMGEP;SP;BRASIL;
EEAR;COMGEP;SP;BRASIL;
ES-CG;COMGEP;MS;BRASIL;
ES-GW;COMGEP;SP;BRASIL;
ES-SJ;COMGEP;SP;BRASIL;
ES-YS;COMGEP;SP;BRASIL;
HFASP;COMGEP;SP;BRASIL;
SEREP-SP;COMGEP;SP;BRASIL;
1/15 GAV;COMPREP;MS;BRASIL;
2/10 GAV;COMPREP;MS;BRASIL;
3/3 GAV;COMPREP;MS;BRASIL;
ALA 5;COMPREP;MS;BRASIL;
BACG;COMPREP;MS;BRASIL;
CMCG;COMPREP;MS;BRASIL;
EAS;COMPREP;MS;BRASIL;
IAOP;COMPREP;SP;BRASIL;
CO-DCTA;DCTA;SP;BRASIL;
CPORAER SJ;DCTA;SP;BRASIL;
DCTA;DCTA;SP;BRASIL;
GAC-EMBRAER;DCTA;SP;BRASIL;
GAC-HB;DCTA;MG;BRASIL;
GAC-MECTRON;DCTA;SP;BRASIL;
GAC-PAC;DCTA;SP;BRASIL;
GAP SJ;DCTA;SP;BRASIL;
GIA SJ;DCTA;SP;BRASIL;
GSD-SJ;DCTA;SP;BRASIL;
IAE;DCTA;SP;BRASIL;
IEAV;DCTA;SP;BRASIL;
IFI;DCTA;SP;BRASIL;
IPEV;DCTA;SP;BRASIL;
ITA;DCTA;SP;BRASIL;
