id;name;grande_comando;estado;pais;
562;DTCEA-EI;DECEA;AM;BRASIL;
563;DTCEA-GM;DECEA;RO;BRASIL;
564;DTCEA-MN;DECEA;AM;BRASIL;
565;DTCEA-MY;DECEA;AM;BRASIL;
566;DTCEA-PV;DECEA;RO;BRASIL;
567;DTCEA-RB;DECEA;AC;BRASIL;
568;DTCEA-TF;DECEA;AM;BRASIL;
569;DTCEA-TT;DECEA;AM;BRASIL;
570;DTCEA-UA;DECEA;AM;BRASIL;
571;DTCEA-VH;DECEA;RO;BRASIL;
572;12 CJM;GABAER;AM;BRASIL;
573;GAP BV;SEFA;RR;BRASIL;
574;GAP MN;SEFA;AM;BRASIL;
575;GAP PV;SEFA;RO;BRASIL;
576;PAMN;SEFA;AM;BRASIL;
577;AUD/4 CJM;-;AM;BRASIL;
578;CMM;-;AM;BRASIL;
579;A PER CHBIB 9E10;A PER CHBIB 9E10;AM;BRASIL;
580;ABCTA-CTBA MENS;ABCTA-CTBA MENS;PE;BRASIL;
581;ABRA - PAT;ABRA - PAT;SC;BRASIL;
582;ABRA-CAT MENS;ABRA-CAT MENS;RJ;BRASIL;
583;ABRA-PC;ABRA-PC;RJ;BRASIL;
584;ABRA-SAR;ABRA-SAR;AL;BRASIL;
585;AGIA MENS;AGIA MENS;BA;BRASIL;
586;ALBATROZ MENS;ALBATROZ MENS;RJ;BRASIL;
587;AM PNR SOSGT BQ;AM PNR SOSGT BQ;PE;BRASIL;
588;AMBRA;AMBRA;PE;BRASIL;
589;AMEAVITA;AMEAVITA;DF;BRASIL;
590;AMRAER;AMRAER;RJ;BRASIL;
591;ANAPCON MENS;ANAPCON MENS;RN;BRASIL;
592;ANAPI;ANAPI;RJ;BRASIL;
593;APCH AEROPORTO;APCH AEROPORTO;AM;BRASIL;
594;APEAB;APEAB;MG;BRASIL;
595;APVMRN;APVMRN;RJ;BRASIL;
596;ARFAMIL MENS;ARFAMIL MENS;BA;BRASIL;
597;ASB AF;ASB AF;RJ;BRASIL;
598;ASBAPI MENS;ASBAPI MENS;DF;BRASIL;
599;ASMIPIR MENS;ASMIPIR MENS;PR;BRASIL;
600;ASMIR PE MENS;ASMIR PE MENS;RJ;BRASIL;
601;ASS ANIST POLITICOS;ASS ANIST POLITICOS;RJ;BRASIL;
602;ASS BL I SQN204;ASS BL I SQN204;RS;BRASIL;
603;ASS BL J SQN108;ASS BL J SQN108;MG;BRASIL;
604;ASS ORD ALTANEI;ASS ORD ALTANEI;DF;BRASIL;
605;ASS PER APCHBIB;ASS PER APCHBIB;DF;BRASIL;
606;ASS PER BLOCO A;ASS PER BLOCO A;DF;BRASIL;
607;ASS PER IVO GAST;ASS PER IVO GAST;PE;BRASIL;
608;ASS PERM ASPEVI;ASS PERM ASPEVI;PE;BRASIL;
609;ASS PERMI 14BIS;ASS PERMI 14BIS;RJ;BRASIL;
610;ASS PERMI ASPCA;ASS PERMI ASPCA;SP;BRASIL;
611;ASS PERMI ASWXL;ASS PERMI ASWXL;CE;BRASIL;
612;ASS PERMI HCV;ASS PERMI HCV;CE;BRASIL;
613;ASS PERMI VMA;ASS PERMI VMA;MG;BRASIL;
614;ASS SERV CV AER;ASS SERV CV AER;RJ;BRASIL;
615;ASS SERV CV BR;ASS SERV CV BR;RJ;BRASIL;
616;ASS SO SGT EPCAR;ASS SO SGT EPCAR;SP;BRASIL;
617;ASSAF B25;ASSAF B25;PE;BRASIL;
618;ASSATA MENS;ASSATA MENS;RJ;BRASIL;
619;BANCO INTER SA;BANCO INTER SA;SP;BRASIL;
620;BANEX AF;BANEX AF;CE;BRASIL;
621;BC MORADA/ACRUX;BC MORADA/ACRUX;RJ;BRASIL;
622;BCO ABC AF;BCO ABC AF;RJ;BRASIL;
623;BCO ALFA AF;BCO ALFA AF;RJ;BRASIL;
624;BCO ARBI AF;BCO ARBI AF;RJ;BRASIL;
625;BCO BBM AF;BCO BBM AF;RJ;BRASIL;
626;BCO BMC AF;BCO BMC AF;RJ;BRASIL;
627;BCO BMG AF;BCO BMG AF;RJ;BRASIL;
628;BCO BONSUCESSO AF;BCO BONSUCESSO AF;RJ;BRASIL;
629;BCO BRADESCO AF;BCO BRADESCO AF;RJ;BRASIL;
630;BCO BRASIL AF;BCO BRASIL AF;RJ;BRASIL;
631;BCO BVA AF;BCO BVA AF;SP;BRASIL;
632;BCO CACIQUE AF;BCO CACIQUE AF;SP;BRASIL;
633;BCO CEDULA AF;BCO CEDULA AF;RJ;BRASIL;
634;BCO CR2 AF;BCO CR2 AF;RJ;BRASIL;
635;BCO CRUZ SUL AF;BCO CRUZ SUL AF;SP;BRASIL;
636;BCO DAYCOVAL AF;BCO DAYCOVAL AF;RJ;BRASIL;
637;BCO FIBRA AF;BCO FIBRA AF;SP;BRASIL;
638;BCO FICSA AF;BCO FICSA AF;RJ;BRASIL;
639;BCO GE CAPITAL AF;BCO GE CAPITAL AF;SP;BRASIL;
640;BCO GE CART CRED;BCO GE CART CRED;RJ;BRASIL;
641;BCO GERADOR;BCO GERADOR;RJ;BRASIL;
642;BCO HSBC AF;BCO HSBC AF;PR;BRASIL;
643;BCO INDUSTRIAL AF;BCO INDUSTRIAL AF;RJ;BRASIL;
644;BCO ITAU AF;BCO ITAU AF;SP;BRASIL;
645;BCO ITAU-UNIBANCO AF;BCO ITAU-UNIBANCO AF;MG;BRASIL;
646;BCO MAXIMA AF;BCO MAXIMA AF;GO;BRASIL;
647;BCO MERCANTIL AF;BCO MERCANTIL AF;RJ;BRASIL;
648;BCO ORIGINAL AF;BCO ORIGINAL AF;SP;BRASIL;
649;BCO PARANµ AF;BCO PARANµ AF;RJ;BRASIL;
650;BCO PECUNIA AF;BCO PECUNIA AF;MG;BRASIL;
651;BCO PINE AF;BCO PINE AF;RJ;BRASIL;
652;BCO RURAL AF;BCO RURAL AF;RJ;BRASIL;
653;BCO SAFRA AF;BCO SAFRA AF;RJ;BRASIL;
654;BCO SANTANDER AF;BCO SANTANDER AF;RJ;BRASIL;
655;BCO SCHAHIN AF;BCO SCHAHIN AF;RJ;BRASIL;
656;BCO SEMEAR AF;BCO SEMEAR AF;RJ;BRASIL;
657;BCO SOFISA AF;BCO SOFISA AF;RJ;BRASIL;
658;BV FIN AF;BV FIN AF;RJ;BRASIL;
659;C S S G A F;C S S G A F;RS;BRASIL;
660;C SGT B MENSAL;C SGT B MENSAL;PE;BRASIL;
661;C TAIF AER;C TAIF AER;SP;BRASIL;
662;CAPEMISA S/A;CAPEMISA S/A;RJ;BRASIL;
663;CAPEMISA SA;CAPEMISA SA;SP;BRASIL;
664;CARAVANA MENS;CARAVANA MENS;PE;BRASIL;
665;CAS SOSGT SP;CAS SOSGT SP;SC;BRASIL;
666;CASCASTA;CASCASTA;RJ;BRASIL;
667;CASSAZUM;CASSAZUM;DF;BRASIL;
668;CATALINA MENS;CATALINA MENS;DF;BRASIL;
669;CCB BRASIL;CCB BRASIL;MG;BRASIL;
670;CEF AF;CEF AF;RJ;BRASIL;
671;CEN SOCIAL PELICANO;CEN SOCIAL PELICANO;MG;BRASIL;
672;CETELEM;CETELEM;RJ;BRASIL;
673;CIAER AGINT-MA;CIAER;MA;BRASIL;
674;CIAER AGINT-SP;CIAER;SP;BRASIL;
675;CLUBE AER;CLUBE AER;RJ;BRASIL;
676;CLUBE AER BR;CLUBE AER BR;CE;BRASIL;
677;CLUBE DAS µGUIAS;CLUBE DAS µGUIAS;SP;BRASIL;
678;CLUBE MILITAR;CLUBE MILITAR;RJ;BRASIL;
679;CLUBE SOSGT AER;CLUBE SOSGT AER;RJ;BRASIL;
680;COGA;COGA;RJ;BRASIL;
681;COGAL;COGAL;RJ;BRASIL;
682;COMGAP AAL_SJ;COMGAP SP;SP;BRASIL;
683;COMPREV;COMPREV;RJ;BRASIL;
684;COSAE-SICOOB;COSAE-SICOOB;SC;BRASIL;
685;CQCTAN MENS;CQCTAN MENS;PE;BRASIL;
686;CS ALBATROZ MENS;CS ALBATROZ MENS;SC;BRASIL;
687;CSSGL;CSSGL;RJ;BRASIL;
688;MTAB-BOLIVIA;EMAER;-;BOL÷VIA;
689;EQUATORIAL PREV;EQUATORIAL PREV;RJ;BRASIL;
690;FIN EXPRINTER AF;FIN EXPRINTER AF;RJ;BRASIL;
691;FIN OBOE AF;FIN OBOE AF;SP;BRASIL;
692;FIN PREVCAIXA AF;FIN PREVCAIXA AF;RJ;BRASIL;
693;GBOEX;GBOEX;RS;BRASIL;
694;GSGS AF;GSGS AF;RS;BRASIL;
695;LECCA FIN AF;LECCA FIN AF;RJ;BRASIL;
696;LEG VET GUER BR;LEG VET GUER BR;RJ;BRASIL;
697;ESG-BR;MDEFESA;DF;BRASIL;
698;MENS AMIGOS T1;MENS AMIGOS T1;RJ;BRASIL;
699;MENS APRAF;MENS APRAF;MG;BRASIL;
700;MENS ASA BRANCA;MENS ASA BRANCA;SP;BRASIL;
701;MENS ASSGAPA;MENS ASSGAPA;MG;BRASIL;
702;MENS COEP;MENS COEP;SC;BRASIL;
703;MENS ESQ FUMACA;MENS ESQ FUMACA;RJ;BRASIL;
704;MITRA ORD MIL;MITRA ORD MIL;RS;BRASIL;
705;NINHO DAS µGUIAS MEN;NINHO DAS µGUIAS MEN;PE;BRASIL;
706;OLE CONSIGNADO;OLE CONSIGNADO;RS;BRASIL;
707;PRESTAÄ«O DE ALUGUEL;PRESTAÄ«O DE ALUGUEL;RS;BRASIL;
708;PREVBRAS PREV AF;PREVBRAS PREV AF;RJ;BRASIL;
709;PREVICORP PREV AF;PREVICORP PREV AF;RJ;BRASIL;
710;QUALIVIDA;QUALIVIDA;PE;BRASIL;
711;SICOOB NOSSACOOP;SICOOB NOSSACOOP;AL;BRASIL;
712;U BENEF SSGT FA;U BENEF SSGT FA;RN;BRASIL;
713;UBS-5;UBS-5;RJ;BRASIL;
714;VIVER PREV;VIVER PREV;RJ;BRASIL;
715;1  VECT;-;AM;BRASIL;
716;1 AUD/ 2 CJM;-;SP;BRASIL;
717;1 AUD/3 CJM;-;RS;BRASIL;
718;1 DEPOL;-;SP;BRASIL;
719;1 DP;-;SP;BRASIL;
720;1 DP CIV;-;RN;BRASIL;
721;1 DP CIV RN;-;RN;BRASIL;
722;1 DP GO;-;GO;BRASIL;
723;1 DPRCCM;-;PE;BRASIL;
724;1 DVJVDFCM;-;PA;BRASIL;
725;1 JEC;-;PE;BRASIL;
726;1 JECRIM SG;-;RJ;BRASIL;
727;1 JECRIMBV;-;RR;BRASIL;
728;1 JVDFCM;-;DF;BRASIL;
729;1 V;-;PE;BRASIL;
730;1 VAM;-;RO;BRASIL;
731;1 VC;-;MG;BRASIL;
732;1 VC FL;-;SC;BRASIL;
733;1 VC GO;-;GO;BRASIL;
734;1 VC MN;-;AM;BRASIL;
735;1 VC RJ;-;RJ;BRASIL;
736;1 VC RO;-;RO;BRASIL;
737;1 VC SM;-;RS;BRASIL;
738;1 VC SP;-;SP;BRASIL;
739;1 VC SP.;-;SP;BRASIL;
740;1 VC/PA;-;PA;BRASIL;
741;1 VC/RN;-;RN;BRASIL;
742;1 VCCN;-;RJ;BRASIL;
743;1 VCCP;-;SP;BRASIL;
744;1 VCRJ;-;RJ;BRASIL;
745;1 VCSJM;-;RJ;BRASIL;
746;1 VDT;-;RO;BRASIL;
747;1 VDT BC;-;SP;BRASIL;
748;1 VECCDCA;-;AM;BRASIL;
749;1 VECT;-;AM;BRASIL;
750;1 VF/DF;-;DF;BRASIL;
751;1 VF/RN;-;RN;BRASIL;
752;1 VF/SP;-;SP;BRASIL;
753;1 VFAC;-;AC;BRASIL;
754;1 VFC;-;RJ;BRASIL;
755;1 VJFDPCC;-;SP;BRASIL;
756;1/2 CJM;-;SP;BRASIL;
757;1/VF S«O PEDRO DA AL;-;RJ;BRASIL;
758;1¶ JEF;-;RJ;BRASIL;
759;1¶ VC;-;PE;BRASIL;
760;1¶ VC GO;-;GO;BRASIL;
761;1¶ VC/BH;-;MG;BRASIL;
762;1¶ VC/JVDF;-;SP;BRASIL;
763;1¶ VC/MG;-;MG;BRASIL;
764;1¶ VCCSF/BA;-;BA;BRASIL;
765;1¶ VJPC;-;BA;BRASIL;
766;1¶ VTJCG/MS;-;MS;BRASIL;
767;1¶/2¶ CJM;-;SP;BRASIL;
768;1¶/2¶CJM;-;SP;BRASIL;
769;1¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
770;1¶AUD/2¶CJM;-;RJ;BRASIL;
771;1¶AUD/2¶CJM/SP;-;SP;BRASIL;
772;1¶VCCA;-;SP;BRASIL;
773;1¶VCCEJB/DF;-;DF;BRASIL;
774;1¶VCCN;-;RJ;BRASIL;
775;1¶VCPCA/PA;-;PA;BRASIL;
776;1¶VJL/SP;-;SP;BRASIL;
777;1JECCJG/PE;-;PE;BRASIL;
778;1JEF;-;RJ;BRASIL;
779;1JEF/DF;-;DF;BRASIL;
780;1JEF/GUARULHOS;-;SP;BRASIL;
781;1JEF/MG;-;MG;BRASIL;
782;1JEF/RJ;-;RJ;BRASIL;
783;1JEF/V.REDONDA;-;RJ;BRASIL;
784;1JVDF;-;RJ;BRASIL;
785;1ß DP/MN;-;AM;BRASIL;
786;1ß JEC/RJ;-;RJ;BRASIL;
787;1ß JECC;-;DF;BRASIL;
788;1ß JECRIM;-;RJ;BRASIL;
789;1ß JVD;-;RR;BRASIL;
790;1ß VJCP/SP;-;SP;BRASIL;
791;1ßDPSR/RS;-;RS;BRASIL;
792;1ßJECRIM;-;RN;BRASIL;
793;1ßVF/ANGRA DOS REIS;-;RJ;BRASIL;
794;1ßVF/BLUMENAU;-;SC;BRASIL;
795;1ßVF/CG;-;MS;BRASIL;
796;1ßVF/JEF;-;MG;BRASIL;
797;1ßVF/MAGê;-;RJ;BRASIL;
798;1ßVF/PIRACICABA;-;SP;BRASIL;
799;1ßVF/PORTO ALEGRE;-;RS;BRASIL;
800;1ßVF/RESENDE;-;RJ;BRASIL;
801;1ßVF/RS;-;RS;BRASIL;
802;1TURMA REC;-;RJ;BRASIL;
803;1VC;-;RS;BRASIL;
804;1VC/BQ;-;MG;BRASIL;
805;1VC/CO;-;RS;BRASIL;
806;1VC/MA;-;MA;BRASIL;
807;1VC/SJM;-;RJ;BRASIL;
808;1VCCJG;-;PE;BRASIL;
809;1VCIJ;-;MG;BRASIL;
810;1VF;-;GO;BRASIL;
811;1VF/AM;-;AM;BRASIL;
812;1VF/BA;-;BA;BRASIL;
813;1VF/CE;-;CE;BRASIL;
814;1VF/CORUMBµ;-;MS;BRASIL;
815;1VF/CRICIÈMA;-;SC;BRASIL;
816;1VF/DC;-;RJ;BRASIL;
817;1VF/DF;-;DF;BRASIL;
818;1VF/DIVINOPOLIS;-;MG;BRASIL;
819;1VF/ES;-;ES;BRASIL;
820;1VF/FLORIA;-;SC;BRASIL;
821;1VF/FOZDOIGUAÄU;-;PR;BRASIL;
822;1VF/GO;-;GO;BRASIL;
823;1VF/ITAB;-;RJ;BRASIL;
824;1VF/JFORA;-;MG;BRASIL;
825;1VF/LAGES;-;SC;BRASIL;
826;1VF/MA;-;MA;BRASIL;
827;1VF/MACAê;-;RJ;BRASIL;
828;1VF/MG;-;MG;BRASIL;
829;1VF/MS;-;MS;BRASIL;
830;1VF/MT;-;MT;BRASIL;
831;1VF/NH;-;RS;BRASIL;
832;1VF/NI;-;RJ;BRASIL;
833;1VF/NITEROI;-;RJ;BRASIL;
834;1VF/PB;-;PB;BRASIL;
835;1VF/PE;-;PE;BRASIL;
836;1VF/PELOTAS;-;RS;BRASIL;
837;1VF/RN;-;RN;BRASIL;
838;1VF/RO;-;RO;BRASIL;
839;1VF/RR;-;RR;BRASIL;
840;1VF/RS;-;RS;BRASIL;
841;1VF/SANTARêM;-;PA;BRASIL;
842;1VF/SANTOS;-;SP;BRASIL;
843;1VF/SBC;-;SP;BRASIL;
844;1VF/SC;-;SC;BRASIL;
845;1VF/SJBV;-;SP;BRASIL;
846;1VF/SJMERITI;-;RJ;BRASIL;
847;1VF/SOROCABA;-;SP;BRASIL;
848;1VF/SP;-;SP;BRASIL;
849;1VF/TAUB;-;SP;BRASIL;
850;1VF/TERE;-;RJ;BRASIL;
851;01VFSG;-;RJ;BRASIL;
852;2 AUD/2 CJM;-;SP;BRASIL;
853;2 DEAM;-;CE;BRASIL;
854;2 JEC RF;-;PE;BRASIL;
855;2 JECRIM;-;RJ;BRASIL;
856;2 TURMA REC;-;RJ;BRASIL;
857;2 TURMA REC/RJ;-;RJ;BRASIL;
858;2 VC;-;PE;BRASIL;
859;2 VC BANGU/RJ;-;RJ;BRASIL;
860;2 VC MAD RJ;-;RJ;BRASIL;
861;2 VC MG;-;MG;BRASIL;
862;2 VC NI;-;RJ;BRASIL;
863;2 VC RJ;-;RJ;BRASIL;
864;2 VC SC;-;SC;BRASIL;
865;2 VC SP;-;SP;BRASIL;
866;2 VC/CE;-;CE;BRASIL;
867;2 VC/FRSC;-;RJ;BRASIL;
868;2 VC/MG;-;MG;BRASIL;
869;2 VC/RJ;-;RJ;BRASIL;
870;2 VCCE;-;CE;BRASIL;
871;2 VCDI;-;PA;BRASIL;
872;2 VCJEM;-;MA;BRASIL;
873;2 VF;-;SP;BRASIL;
874;2 VF/AL;-;AL;BRASIL;
875;2 VF/DF;-;DF;BRASIL;
876;2 VF/PE;-;PE;BRASIL;
877;2 VF/RN;-;RN;BRASIL;
878;2 VJ;-;PE;BRASIL;
879;2/1 CJM;-;RJ;BRASIL;
880;2¶ AUD/3¶ CJM;-;PR;BRASIL;
881;2¶ DSDP/CE;-;CE;BRASIL;
882;2¶ PIP/RJ;-;RJ;BRASIL;
883;2¶ VC;-;RS;BRASIL;
884;2¶ VC / DF;-;DF;BRASIL;
885;2¶ VC/DF;-;DF;BRASIL;
886;2¶ VC/MG;-;MG;BRASIL;
887;2¶ VCC-SR;-;RS;BRASIL;
888;2¶ VCCCA;-;PA;BRASIL;
889;2¶ VCCGM/RO;-;RO;BRASIL;
890;2¶ VCCPV-RO;-;RO;BRASIL;
891;2¶ VCCSM;-;RS;BRASIL;
892;2¶ VCFG;-;SP;BRASIL;
893;2¶ VCSG/RJ;-;RJ;BRASIL;
894;2¶ VDFCM/PE;-;PE;BRASIL;
895;2¶ VP/DF;-;DF;BRASIL;
896;2¶/2¶CJM/SP;-;SP;BRASIL;
897;2¶AUD/2¶CJM;-;SP;BRASIL;
898;2¶VC;-;PA;BRASIL;
899;2¶VC/BA;-;BA;BRASIL;
900;2¶VCA/SP;-;SP;BRASIL;
901;2¶VF/PIRACICABA;-;SP;BRASIL;
902;2¶VFPP/MS;-;MS;BRASIL;
903;2¶VJP/SP;-;SP;BRASIL;
904;2JEF;-;RJ;BRASIL;
905;2JEF/CE;-;CE;BRASIL;
906;2JEF/MG;-;MG;BRASIL;
907;2JEF/PR;-;PR;BRASIL;
908;2JEF/RJ;-;RJ;BRASIL;
909;2ß DP/SP;-;SP;BRASIL;
910;2ß DPSBC;-;SP;BRASIL;
911;2ß JEF/RJ;-;RJ;BRASIL;
912;2ß JEVD;-;AM;BRASIL;
913;2ß JEVD/RJ;-;RJ;BRASIL;
914;2ß JIJ/PV;-;RO;BRASIL;
915;2ß JVDFCM/BR;-;DF;BRASIL;
916;2ß VC DF;-;DF;BRASIL;
917;2ß VC FOS;-;DF;BRASIL;
918;2ß VF;-;RN;BRASIL;
919;2OJECRIM/RJ;-;RJ;BRASIL;
920;2ßVF/MS;-;MS;BRASIL;
921;2VC;-;SP;BRASIL;
922;2VC/DF;-;DF;BRASIL;
923;2VC/RF;-;PE;BRASIL;
924;2VCZSN/RN;-;RN;BRASIL;
925;2VF;-;AM;BRASIL;
926;2VF / SP;-;SP;BRASIL;
927;2VF/AM;-;AM;BRASIL;
928;2VF/ARARAQUARA;-;SP;BRASIL;
929;2VF/BA;-;BA;BRASIL;
930;2VF/CANOAS;-;RS;BRASIL;
931;2VF/CE;-;CE;BRASIL;
932;2VF/CRICIÈMA;-;SC;BRASIL;
933;2VF/DF;-;DF;BRASIL;
934;2VF/DUQUE DE CAXIAS;-;RJ;BRASIL;
935;2VF/ES;-;ES;BRASIL;
936;2VF/FLORIA;-;SC;BRASIL;
937;2VF/GO;-;GO;BRASIL;
938;2VF/JFORA;-;MG;BRASIL;
939;2VF/LUZIANIA;-;GO;BRASIL;
940;2VF/MG;-;MG;BRASIL;
941;2VF/MS;-;MS;BRASIL;
942;2VF/MT;-;MT;BRASIL;
943;2VF/NOVA IGUAÄU;-;RJ;BRASIL;
944;2VF/PE;-;PE;BRASIL;
945;2VF/PELOTAS;-;RS;BRASIL;
946;2VF/PET;-;RJ;BRASIL;
947;2VF/PI;-;PI;BRASIL;
948;2VF/PR;-;PR;BRASIL;
949;2VF/RN;-;RN;BRASIL;
950;2VF/RO;-;RO;BRASIL;
951;2VF/RPRETO;-;SP;BRASIL;
952;2VF/RR;-;RR;BRASIL;
953;2VF/RS;-;RS;BRASIL;
954;2VF/SANTOS;-;SP;BRASIL;
955;2VF/SAO CARLOS;-;SP;BRASIL;
956;2VF/SAO GONÄALO;-;RJ;BRASIL;
957;2VF/S«O PEDRO DA ALD;-;RJ;BRASIL;
958;2VF/SC;-;SC;BRASIL;
959;2VF/SE;-;SE;BRASIL;
960;2VF/SG;-;RJ;BRASIL;
961;2VF/SG RJ;-;RJ;BRASIL;
962;2VF/SJC;-;SP;BRASIL;
963;2VF/SJMERITI;-;RJ;BRASIL;
964;2VF/SM;-;RS;BRASIL;
965;2VF/SP;-;SP;BRASIL;
966;2VF/UMUARAMA;-;PR;BRASIL;
967;2VFC;-;RJ;BRASIL;
968;2VP/PA;-;PA;BRASIL;
969;2VVDFCM;-;PA;BRASIL;
970;3 AUD/3 CJM;-;RS;BRASIL;
971;3 JECRIM PE;-;PE;BRASIL;
972;3 V JUDICIAL;-;SP;BRASIL;
973;3 VC;-;PE;BRASIL;
974;3 VC AP;-;AP;BRASIL;
975;3 VC JG;-;PE;BRASIL;
976;3 VC PV;-;RO;BRASIL;
977;3 VC RJ;-;RJ;BRASIL;
978;3 VC RS;-;RS;BRASIL;
979;3 VC TAGDF;-;DF;BRASIL;
980;3 VCAN/GO;-;GO;BRASIL;
981;3 VCCJG;-;PE;BRASIL;
982;3 VCDC/RJ;-;RJ;BRASIL;
983;3 VCFG;-;SP;BRASIL;
984;3 VF / PA;-;PA;BRASIL;
985;3 VF/CE;-;CE;BRASIL;
986;3 VJIJ;-;SP;BRASIL;
987;3 VPBE;-;PA;BRASIL;
988;3¶ DP/DF;-;DF;BRASIL;
989;3¶ DP/SP;-;SP;BRASIL;
990;3¶ VC;-;SP;BRASIL;
991;3¶ VC MS;-;MS;BRASIL;
992;3¶ VC/RS;-;RS;BRASIL;
993;3¶ VC/TJAM;-;AM;BRASIL;
994;3¶ VCC/PE;-;PE;BRASIL;
995;3¶ VFT/VR;-;RJ;BRASIL;
996;3¶ VRCBV;-;RR;BRASIL;
997;3¶ VVDFCM;-;PE;BRASIL;
998;3¶/1¶ CJM;-;RJ;BRASIL;
999;3¶AUD/1¶CJM;-;GO;BRASIL;
1000;3¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
1001;3AUD/3CJM;-;RS;BRASIL;
1002;3¶VCD/PA;-;PA;BRASIL;
1003;3¶VFC/PR;-;PR;BRASIL;
1004;3¶VJP/SP;-;SP;BRASIL;
1005;3¶VJRP/SP;-;SP;BRASIL;
1006;3¶VJVDFM;-;PA;BRASIL;
1007;3JEF/MG;-;MG;BRASIL;
1008;3JEF/RJ;-;RJ;BRASIL;
1009;3ß DIP;-;AM;BRASIL;
1010;3ß JVDFCM-DF;-;DF;BRASIL;
1011;3ßVF/CG;-;MS;BRASIL;
1012;3VCDI;-;PA;BRASIL;
1013;3VCT/BR;-;DF;BRASIL;
1014;3VF;-;RJ;BRASIL;
1015;3VF/AM;-;AM;BRASIL;
1016;3VF/BA;-;BA;BRASIL;
1017;3VF/BLUMENAU;-;SC;BRASIL;
1018;3VF/CE;-;CE;BRASIL;
1019;3VF/CURITIBA;-;PR;BRASIL;
1020;3VF/DC;-;RJ;BRASIL;
1021;3VF/DF;-;DF;BRASIL;
1022;3VF/ES;-;ES;BRASIL;
1023;3VF/FLORIA;-;SC;BRASIL;
1024;3VF/GO;-;GO;BRASIL;
1025;3VF/JFORA;-;MG;BRASIL;
1026;3VF/MA;-;MA;BRASIL;
1027;3VF/MG;-;MG;BRASIL;
1028;3VF/MS;-;MS;BRASIL;
1029;3VF/NITEROI;-;RJ;BRASIL;
1030;3VF/PA;-;PA;BRASIL;
1031;3VF/PB;-;PB;BRASIL;
1032;3VF/PE;-;PE;BRASIL;
1033;3VF/POA;-;RS;BRASIL;
1034;3VF/PR;-;PR;BRASIL;
1035;3VF/RN;-;RN;BRASIL;
1036;3VF/RO;-;RO;BRASIL;
1037;3VF/RR;-;RR;BRASIL;
1038;3VF/RS;-;RS;BRASIL;
1039;3VF/SC;-;SC;BRASIL;
1040;3VF/SG;-;RJ;BRASIL;
1041;3VF/SJMERITI;-;RJ;BRASIL;
1042;3VF/SJRPRETO;-;SP;BRASIL;
1043;3VF/SP;-;SP;BRASIL;
1044;3VF/UBERL∂;-;MG;BRASIL;
1045;3VFF/RN;-;RN;BRASIL;
1046;4 DISE SUL;-;SP;BRASIL;
1047;4 DP PE;-;PE;BRASIL;
1048;4 PRET CRI;-;PA;BRASIL;
1049;4 PRET CRIM;-;PA;BRASIL;
1050;4 VC;-;RS;BRASIL;
1051;4 VC CE;-;CE;BRASIL;
1052;4 VC/RS;-;RS;BRASIL;
1053;4 VCBR;-;DF;BRASIL;
1054;4 VF/CE;-;CE;BRASIL;
1055;4 VF/PR;-;PR;BRASIL;
1056;4¶ DP/DF;-;DF;BRASIL;
1057;4¶ DPDF;-;DF;BRASIL;
1058;4¶ VC/DF;-;DF;BRASIL;
1059;4¶ VC/PA;-;PA;BRASIL;
1060;4¶ VC/SP;-;SP;BRASIL;
1061;4¶ VCCBH;-;MG;BRASIL;
1062;4¶ VFC/RJ;-;RJ;BRASIL;
1063;4¶AUD/1¶CJM;-;RJ;BRASIL;
1064;4¶AUD/1¶CJM/RJ;-;RJ;BRASIL;
1065;4¶CJM;-;MG;BRASIL;
1066;4¶CJM/JF;-;MG;BRASIL;
1067;4¶VC/RR;-;MA;BRASIL;
1068;4¶VCCN;-;RJ;BRASIL;
1069;4¶VCTR;-;RJ;BRASIL;
1070;4¶VF;-;SP;BRASIL;
1071;4JEF/AC;-;AC;BRASIL;
1072;4JEF/RJ;-;RJ;BRASIL;
1073;4ßJECCC;-;RJ;BRASIL;
1074;4ßVF/CG;-;MS;BRASIL;
1075;4ßVF/SANTOS;-;SP;BRASIL;
1076;4VC/SP;-;SP;BRASIL;
1077;4VF;-;GO;BRASIL;
1078;4VF/AL;-;AL;BRASIL;
1079;4VF/AM;-;AM;BRASIL;
1080;4VF/BA;-;BA;BRASIL;
1081;4VF/CANOAS;-;RS;BRASIL;
1082;4VF/CE;-;CE;BRASIL;
1083;4VF/DF;-;DF;BRASIL;
1084;4VF/ES;-;ES;BRASIL;
1085;4VF/FLORIA;-;SC;BRASIL;
1086;4VF/GO;-;GO;BRASIL;
1087;4VF/MS;-;MS;BRASIL;
1088;4VF/NITEROI;-;RJ;BRASIL;
1089;4VF/PA;-;PA;BRASIL;
1090;4VF/PE;-;PE;BRASIL;
1091;4VF/PR;-;PR;BRASIL;
1092;4VF/RJ;-;RJ;BRASIL;
1093;4VF/RN;-;RN;BRASIL;
1094;4VF/RR;-;RR;BRASIL;
1095;4VF/RS;-;RS;BRASIL;
1096;4VF/SC;-;SC;BRASIL;
1097;4VF/SJC;-;SP;BRASIL;
1098;4VF/SJMERITI;-;RJ;BRASIL;
1099;4VF/SP;-;SP;BRASIL;
