id;name;grande_comando;estado;pais;
130;GAPS;COMGEP;RJ;BRASIL;
131;GSD-AF;COMGEP;RJ;BRASIL;
132;HAAF;COMGEP;RJ;BRASIL;
133;HCA;COMGEP;RJ;BRASIL;
134;HFAG;COMGEP;RJ;BRASIL;
135;IMAE;COMGEP;RJ;BRASIL;
136;IPA;COMGEP;RJ;BRASIL;
137;LAQFA;COMGEP;RJ;BRASIL;
138;OASD;COMGEP;RJ;BRASIL;
139;OM_AUX;COMGEP;RJ;BRASIL;
140;PIPAR-INAT;COMGEP;RJ;BRASIL;
141;SEGECAE;COMGEP;RJ;BRASIL;
142;SEREP-RJ;COMGEP;RJ;BRASIL;
143;UNIFA;COMGEP;RJ;BRASIL;
144;1 GAVCA;COMPREP;RJ;BRASIL;
145;1 GTT;COMPREP;RJ;BRASIL;
146;1/1 GT;COMPREP;RJ;BRASIL;
147;1/2 GT;COMPREP;RJ;BRASIL;
148;1/7 GAV RJ;COMPREP;RJ;BRASIL;
149;2/2 GT;COMPREP;RJ;BRASIL;
150;3 ETA;COMPREP;RJ;BRASIL;
151;3/8 GAV;COMPREP;RJ;BRASIL;
152;ALA 11;COMPREP;RJ;BRASIL;
153;ALA 12;COMPREP;RJ;BRASIL;
154;BAGL;COMPREP;RJ;BRASIL;
155;BASC;COMPREP;RJ;BRASIL;
156;BINFAE GL;COMPREP;RJ;BRASIL;
157;BINFAE RJ;COMPREP;RJ;BRASIL;
158;GSD-GL;COMPREP;RJ;BRASIL;
159;GSD-RJ;COMPREP;RJ;BRASIL;
160;STGM;COMPREP;RJ;BRASIL;
161;GAC-PAC_SCP-HB;DCTA;MG;BRASIL;
162;1 GCC;DECEA;RJ;BRASIL;
163;1/1 GCC;DECEA;RJ;BRASIL;
164;CGNA;DECEA;RJ;BRASIL;
165;CIMAER;DECEA;RJ;BRASIL;
166;CISCEA;DECEA;RJ;BRASIL;
167;COMF CISCE;DECEA;RJ;BRASIL;
168;COMF SIVAM;DECEA;RJ;BRASIL;
169;DECEA;DECEA;RJ;BRASIL;
170;DTCEA-AF;DECEA;RJ;BRASIL;
171;DTCEA-BQ;DECEA;MG;BRASIL;
172;DTCEA-CF;DECEA;MG;BRASIL;
173;DTCEA-GL;DECEA;RJ;BRASIL;
174;DTCEA-LS;DECEA;MG;BRASIL;
175;DTCEA-PCO;DECEA;RJ;BRASIL;
176;DTCEA-SC;DECEA;RJ;BRASIL;
177;DTCEA-STA;DECEA;ES;BRASIL;
178;DTCEA-TRM;DECEA;MG;BRASIL;
179;DTCEATM-RJ;DECEA;RJ;BRASIL;
180;GEIV;DECEA;RJ;BRASIL;
181;ICA;DECEA;RJ;BRASIL;
182;JJAER;DECEA;RJ;BRASIL;
183;PAME RJ;DECEA;RJ;BRASIL;
184;1 CJM;GABAER;RJ;BRASIL;
185;4 CJM;GABAER;MG;BRASIL;
186;GSI ER-RJO;GABAER;RJ;BRASIL;
187;SAGAB;GABAER;RJ;BRASIL;
188;INCAER;INCAER;RJ;BRASIL;
189;MUSAL;INCAER;RJ;BRASIL;
190;CECAFA MD;MDEFESA;RJ;BRASIL;
191;ESG;MDEFESA;RJ;BRASIL;
192;BAAF;SEFA;RJ;BRASIL;
193;CEAP;SEFA;RJ;BRASIL;
194;DCI;SEFA;RJ;BRASIL;
195;DIRAD;SEFA;RJ;BRASIL;
196;GAL;SEFA;RJ;BRASIL;
197;GALC;SEFA;RJ;BRASIL;
198;GAP AF;SEFA;RJ;BRASIL;
199;GAP BQ;SEFA;MG;BRASIL;
200;GAP GL;SEFA;RJ;BRASIL;
201;GAP LS;SEFA;MG;BRASIL;
202;GAP RJ;SEFA;RJ;BRASIL;
203;GAP SC;SEFA;RJ;BRASIL;
204;III COMAR;SEFA;RJ;BRASIL;
205;PAAF;SEFA;RJ;BRASIL;
206;PAGL;SEFA;RJ;BRASIL;
207;PALS;SEFA;MG;BRASIL;
208;PIPAR;SEFA;RJ;BRASIL;
209;1VF/RJ;-;RJ;BRASIL;
210;2VF/NITEROI;-;RJ;BRASIL;
211;2VF/RJ;-;RJ;BRASIL;
212;3VF/RJ;-;RJ;BRASIL;
213;5VF/RJ;-;RJ;BRASIL;
214;6¶AUD1¶CJM/RJ;-;RJ;BRASIL;
215;7VF/RJ;-;RJ;BRASIL;
216;8VF/RJ;-;RJ;BRASIL;
217;10VF/RJ;-;RJ;BRASIL;
